"Document Title","Authors","Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBNs","DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"A 1024-Member Ensemble Data Assimilation with 3.5-Km Mesh Global Weather Simulations","H. Yashiro; K. Terasaki; Y. Kawai; S. Kudo; T. Miyoshi; T. Imamura; K. Minami; H. Inoue; T. Nishiki; T. Saji; M. Satoh; H. Tomita","National Institute for Environmental Studies (NIES), Tsukuba, Japan; RIKEN Center for Computational Science (R-CCS), Kobe, Japan; RIKEN Center for Computational Science (R-CCS), Kobe, Japan; RIKEN Center for Computational Science (R-CCS), Kobe, Japan; RIKEN Center for Computational Science (R-CCS), Kobe, Japan; RIKEN Center for Computational Science (R-CCS), Kobe, Japan; RIKEN Center for Computational Science (R-CCS), Kobe, Japan; Technical Computing Solution Unit, Fujitsu Ltd., Chiba, Japan; Technical Computing Solution Unit, Fujitsu Ltd., Chiba, Japan; Metro Inc., Numazu, Japan; Atmosphere and Ocean Research Institute (AORI), The University of Tokyo, Kashiwa, Japan; RIKEN Center for Computational Science (R-CCS), Kobe, Japan","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,10,"Numerical weather prediction (NWP) supports our daily lives. Weather models require higher spatiotemporal resolutions to prepare for extreme weather disasters and reduce the uncertainty of predictions. The accuracy of the initial state of the weather simulation is also critical; thus, we need more advanced data assimilation (DA) technology. By combining resolution and ensemble size, we have achieved the world’s largest weather DA experiment using a global cloud-resolving model and an ensemble Kalman filter method. The number of grid points was $\sim$4.4 trillion, and 1.3 PiB of data was passed from the model simulation part to the DA part. We adopted a data-centric application design and approximate computing to speed up the overall system of DA. Our DA system, named NICAM-LETKF, scales to 131,072 nodes (6,291,456 cores) of the supercomputer Fugaku with a sustained performance of 29 PFLOPS and 79 PFLOPS for the simulation and DA parts, respectively.","","978-1-7281-9998-6","10.1109/SC41405.2020.00005","RIKEN; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355206","numerical weather prediction;data assimilation;Fugaku","Computational modeling;Weather forecasting;Predictive models;Data models;Numerical models;Meteorology;Data assimilation","clouds;data assimilation;disasters;geophysics computing;Kalman filters;parallel machines;weather forecasting","1024-member ensemble data assimilation;numerical weather prediction;weather models;higher spatiotemporal resolutions;extreme weather disasters;initial state;weather simulation;advanced data assimilation technology;ensemble size;global cloud-resolving model;ensemble Kalman filter method;model simulation part;data-centric application design;mesh global weather;NICAM-LETKF;computer speed 79.0 PFLOPS;computer speed 29.0 PFLOPS","",6.0,"",38.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Processing Full-Scale Square Kilometre Array Data on the Summit Supercomputer","R. Wang; R. Tobar; M. Dolensky; T. An; A. Wicenec; C. Wu; F. Dulwich; N. Podhorszki; V. Anantharaj; E. Suchyta; B. Lao; S. Klasky","Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, United States; International Centre for Radio Astronomy Research, The University of Western Australia, Perth, Australia; International Centre for Radio Astronomy Research, The University of Western Australia, Perth, Australia; Radio Astronomy Division, Shanghai Astronomical Observatory, Shanghai, China; International Centre for Radio Astronomy Research, The University of Western Australia, Perth, Australia; International Centre for Radio Astronomy Research, The University of Western Australia, Perth, Australia; Department of Engineering Science, Oxford e-Research Centre, University of Oxford, Oxford, United Kingdom; Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, United States; National Center for Computational Sciences, Oak Ridge National Laboratory, Oak Ridge, United States; Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, United States; Radio Astronomy Division, Shanghai Astronomical Observatory, Shanghai, China; Computer Science and Mathematics Division, Oak Ridge National Laboratory, Oak Ridge, United States","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,12,"This work presents a workflow for simulating and processing the full-scale low-frequency telescope data of the Square Kilometre Array (SKA) Phase 1. The SKA project will enter the construction phase soon, and once completed, it will be the world's largest radio telescope and one of the world's largest data generators. The authors used Summit to mimic an endto-end SKA workflow, simulating a dataset of a typical 6 hour observation and then processing that dataset with an imaging pipeline. This workflow was deployed and run on 4,560 compute nodes, and used 27,360 GPUs to generate 2.6 PB of data. This was the first time that radio astronomical data were processed at this scale. Results show that the workflow has the capability to process one of the key SKA science cases, an Epoch of Reionization observation. This analysis also helps reveal critical design factors for the next-generation radio telescopes and the required dedicated processing facilities.","","978-1-7281-9998-6","10.1109/SC41405.2020.00006","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355269","SKA;Summit;extreme-scale workflow;DALiuGE;ADIOS2;OSKAR2","Phased arrays;Radio astronomy;Pipelines;Telescopes;Supercomputers;Arrays;Next generation networking","astronomy computing;parallel machines;radiotelescopes","Summit supercomputer;full-scale low-frequency telescope data;Square Kilometre Array Phase 1;SKA project;construction phase;endto-end SKA workflow;radio astronomical data;key SKA science cases;next-generation radio telescopes;processing facilities;full-scale Square Kilometre Array data;critical design factors","",4.0,"",30.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Toward Realization of Numerical Towing-Tank Tests by Wall-Resolved Large Eddy Simulation based on 32 Billion Grid Finite-Element Computation","C. Kato; Y. Yamade; K. Nagano; K. Kumahata; K. Minami; T. Nishikawa","Institute of Industrial Science, The University of Tokyo, Tokyo, Japan; Mizuho Information &, Research Institute, Inc, Tokyo, Japan; Mizuho Information &, Research Institute, Inc, Tokyo, Japan; RIKEN Center for Computational Science, Hyogo, Japan; RIKEN Center for Computational Science, Hyogo, Japan; Shipbuilding Research Centre of Japan, Tokyo, Japan","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,13,"To realize numerical towing-tank tests by substantially shortening the time to the solution, a general-purpose Finite-Element flow solver, named FrontFlow/blue (FFB), has been fully optimized so as to achieve maximum possible sustained memory throughputs with three of its four hot kernels. A single-node sustained performance of 179.0 GFLOPS, which corresponds to 5.3% of the peak performance, has been achieved on Fugaku, the next flagship computer of Japan. A weak-scale benchmark test has confirmed that FFB runs with a parallel efficiency of over 85% up to 5,505,024 compute cores, and an overall sustained performance of16.7 PFLOPS has been achieved. As a result, the time needed for large-eddy simulation using 32 billion grids has been significantly reduced from almost two days to only 37 min., or by a factor of 71. This has clearly indicated that a numerical towing-tank could actually be built for ship hydrodynamics within a few years.","","978-1-7281-9998-6","10.1109/SC41405.2020.00007","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355268","Very-large-scale Industrial Applications;Fluid-flow Simulations;Time-to-Solution;Hot Kernel Optimization;Sustained Memory Throughputs;Weak-scale Benchmark Test Performance attributes are: time-to-solution and scalability of an implicit method;and they were measured by FLOPS counts for the whole application except I/O run on a part of the full system under installation with single precision","Computational modeling;Benchmark testing;Throughput;Extraterrestrial measurements;Finite element analysis;Numerical models;Kernel","finite element analysis;flow simulation;geophysics computing;hydrodynamics;parallel machines;ships","numerical towing-tank tests;wall-resolved large eddy simulation;FFB;maximum possible sustained memory throughputs;single-node sustained performance;179.0 GFLOPS;peak performance;flagship computer;compute cores;grid finite element computation;computer speed 179.0 GFLOPS;time 37.0 min","",1.0,"",37.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Accelerating Large-Scale Excited-State GW Calculations on Leadership HPC Systems","M. D. Ben; C. Yang; Z. Li; F. H. d. Jornada; S. G. Louie; J. Deslippe","Lawrence Berkeley National Laboratory, Berkeley, California USA; Lawrence Berkeley National Laboratory, Berkeley, California USA; Department of Physics, University of California at Berkeley, California USA; Department of Materials Science and Engineering, Stanford University, Stanford, California USA; Department of Physics, University of California at Berkeley, California USA; Lawrence Berkeley National Laboratory, Berkeley, California USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,11,"Large-scale GW calculations are the state-of-the-art approach to accurately describe many-body excited-state phenomena in complex materials. This is critical for novel device design but due to their extremely high computational cost, these calculations often run at a limited scale. In this paper, we present algorithm and implementation advancements made in the materials science code BerkeleyGW to scale calculations to the order of over 10,000 electrons utilizing the entire Summit at OLCF. Excellent strong and weak scaling is observed, and a 105.9 PFLOP/s double-precision performance is achieved on 27,648 V100 GPUs, reaching 52.7% of the peak. This work for the first time demonstrates the possibility to perform GW calculations at such scale within minutes on current HPC systems, and leads the way for future efficient HPC software development in materials, physical, chemical, and engineering sciences.","","978-1-7281-9998-6","10.1109/SC41405.2020.00008","U.S. Department of Energy; Office of Science; Basic Energy Sciences; U.S. Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355291","electronic structure;excited states;GW method;GPU acceleration;divacancy defects;quantum computing","Materials science and technology;Leadership;High performance computing;Software;Computational efficiency;Acceleration;Chemicals","excited states;mainframes;parallel processing","large-scale excited-state GW calculations;leadership HPC systems;many-body excited-state phenomena;complex materials;device design;materials science code BerkeleyGW;HPC software development","",7.0,"",44.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Pushing the Limit of Molecular Dynamics with Ab Initio Accuracy to 100 Million Atoms with Machine Learning","W. Jia; H. Wang; M. Chen; D. Lu; L. Lin; R. Car; E. Weinan; L. Zhang","University of California, Berkeley, Berkeley, USA; Laboratory of Computational Physics, Institute of Applied Physics and Computational Mathematics, Beijing, China; CAPT, HEDPS,College of Engineering, Peking University, Beijing, China; CAPT, HEDPS,College of Engineering, Peking University, Beijing, China; Lawrence Berkeley National Laboratory, Berkeley, USA; Princeton University, Princeton, USA; Princeton University, Princeton, USA; Princeton University, Princeton, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"For 35 years, ab initio molecular dynamics (AIMD) has been the method of choice for modeling complex atomistic phenomena from first principles. However, most AIMD applications are limited by computational cost to systems with thousands of atoms at most. We report that a machine learning based simulation protocol (Deep Potential Molecular Dynamics), while retaining ab initio accuracy, can simulate more than 1 nanosecond-long trajectory of over 100 million atoms per day, using a highly optimized code (GPU DeePMD-kit) on the Summit supercomputer. Our code can efficiently scale up to the entire Summit supercomputer, attaining 91 PFLOPS in double precision (45.5% of the peak) and 162/275 PFLOPS in mixed-single/half precision. The great accomplishment of this work is that it opens the door to simulating unprecedented size and time scales with ab initio accuracy. It also poses new challenges to the next-generation supercomputer for a better integration of machine learning and physical modeling.","","978-1-7281-9998-6","10.1109/SC41405.2020.00009","National Science Foundation; Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355242","Deep potential molecular dynamics;ab initio molecular dynamics;machine learning;GPU;heterogeneous architecture;Summit","Protocols;Computational modeling;High performance computing;Machine learning;Supercomputers;Trajectory;Next generation networking","ab initio calculations;learning (artificial intelligence);molecular dynamics method;parallel machines;physics computing","machine learning;ab initio molecular dynamics;AIMD;GPU DeePMD-kit;supercomputer;PFLOPS;deep potential molecular dynamics","",31.0,"",75.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Scalable Knowledge Graph Analytics at 136 Petaflop/s","R. Kannan; P. Sao; H. Lu; D. Herrmannova; V. Thakkar; R. Patton; R. Vuduc; T. Potok","Oak Ridge National Laboratory, Oak Ridge, TN, USA; Oak Ridge National Laboratory, Oak Ridge, TN, USA; Oak Ridge National Laboratory, Oak Ridge, TN, USA; Oak Ridge National Laboratory, Oak Ridge, TN, USA; Georgia Institute of Technology, Atlanta, GA, USA; Oak Ridge National Laboratory, Oak Ridge, TN, USA; Georgia Institute of Technology, Atlanta, GA, USA; Oak Ridge National Laboratory, Oak Ridge, TN, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,13,"We are motivated by newly proposed methods for data mining large-scale corpora of scholarly publications, such as the full biomedical literature, which may consist of tens of millions of papers spanning decades of research. In this setting, analysts seek to discover how concepts relate to one another. They construct graph representations from annotated text databases and then formulate the relationship-mining problem as one of computing all-pairs shortest paths (APSP), which becomes a significant bottleneck. In this context, we present a new high-performance algorithm and implementation of the Floyd-Warshall algorithm for distributed-memory parallel computers accelerated by GPUs, which we call DSNAPSHOT (Distributed Accelerated Semiring All-Pairs Shortest Path). For our largest experiments, we ran DSNAPSHOT on a connected input graph with millions of vertices using 4, 096nodes (24,576GPUs) of the Oak Ridge National Laboratory's Summit supercomputer system. We find DSNAPSHOT achieves a sustained performance of $136\times 10^{15}$ floating-point operations per second (136petaflop/s) at a parallel efficiency of 90% under weak scaling and, in absolute speed, 70% of the best possible performance given our computation (in the single-precision tropical semiring or “min-plus” algebra). Looking forward, we believe this novel capability will enable the mining of scholarly knowledge corpora when embedded and integrated into artificial intelligence-driven natural language processing workflows at scale.","","978-1-7281-9998-6","10.1109/SC41405.2020.00010","Battelle; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355266","Shortest path problem;High Performance Computing;Parallel Algorithms","Knowledge engineering;Databases;High performance computing;Supercomputers;Natural language processing;Acceleration;Data mining","artificial intelligence;data mining;directed graphs;floating point arithmetic;natural language processing;parallel machines;text analysis","APSP;significant bottleneck;high-performance algorithm;petaflop;Oak Ridge National Laboratory summit supercomputer system;distributed accelerated semiring all-pairs shortest path;all-pairs shortest paths;relationship-mining problem;annotated text databases;graph representations;biomedical literature;scholarly publications;large-scale corpora;data mining;newly proposed methods;scalable knowledge graph analytics;scholarly knowledge corpora;tropical semiring;possible performance;weak scaling;parallel efficiency;floating-point operations;sustained performance;GPU;connected input graph;largest experiments;DSNAPSHOT;distributed-memory parallel computers;Floyd-Warshall algorithm","",2.0,"",46.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"A Parallel Framework for Constraint-Based Bayesian Network Learning via Markov Blanket Discovery","A. Srivastava; S. P. Chockalingam; S. Aluru","Georgia Institute of Technology, Atlanta, Georgia, USA; Georgia Institute of Technology, Atlanta, Georgia, USA; Georgia Institute of Technology, Atlanta, Georgia, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,15,"Bayesian networks (BNs) are a widely used graphical model in machine learning. As learning the structure of BNs is NP-hard, high-performance computing methods are necessary for constructing large-scale networks. In this paper, we present a parallel framework to scale BN structure learning algorithms to tens of thousands of variables. Our framework is applicable to learning algorithms that rely on the discovery of Markov blankets (MBs) as an intermediate step. We demonstrate the applicability of our framework by parallelizing three different algorithms: Grow-Shrink (GS), Incremental Association MB (IAMB), and Interleaved IAMB (Inter-IAMB). Our implementations are able to construct BNs from real data sets with tens of thousands of variables and thousands of observations in less than a minute on 1024 cores, with a speedup of up to 845X and 82.5% efficiency. Furthermore, we demonstrate using simulated data sets that our proposed parallel framework can scale to BNs of even higher dimensionality.","","978-1-7281-9998-6","10.1109/SC41405.2020.00011","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355320","Bayesian networks;constraint-based learning;parallel machine learning;gene networks","Machine learning algorithms;Graphical models;High performance computing;Machine learning;Markov processes;Bayes methods","Bayes methods;belief networks;learning (artificial intelligence);Markov processes;parallel processing","Inter-IAMB;GS;grow-shrink;interleaved IAMB;incremental association MB;constraint-based Bayesian network learning;Markov blankets;BN structure learning algorithms;large-scale networks;high-performance computing methods;machine learning;graphical model;BNs;Markov blanket discovery;parallel framework","",1.0,"",51.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Recurrent Neural Network Architecture Search for Geophysical Emulation","R. Maulik; R. Egele; B. Lusch; P. Balaprakash","Argonne National Laboratory; École Polytechnique; Argonne National Laboratory; Argonne National Laboratory","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,14,"Developing surrogate geophysical models from data is a key research topic in atmospheric and oceanic modeling because of the large computational costs associated with numerical simulation methods. Researchers have started applying a wide range of machine learning models, in particular neural networks, to geophysical data for forecasting without these constraints. Constructing neural networks for forecasting such data is nontrivial, however, and often requires trial and error. To address these limitations, we focus on developing proper-orthogonal-decomposition-based long short-term memory networks (PODLSTMs). We develop a scalable neural architecture search for generating stacked LSTMs to forecast temperature in the NOAA Optimum Interpolation Sea-Surface Temperature data set. Our approach identifies POD-LSTMs that are superior to manually designed variants and baseline time-series prediction methods. We also assess the scalability of different architecture search strategies on up to 512 Intel Knights Landing nodes of the Theta supercomputer at the Argonne Leadership Computing Facility.","","978-1-7281-9998-6","10.1109/SC41405.2020.00012","U.S. Department of Energy; Office of Science; Advanced Scientific Computing Research; Office of Science; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355238","Recurrent neural networks;Emulation;Geophysics","Temperature distribution;Recurrent neural networks;Atmospheric modeling;Computational modeling;Computer architecture;Data models;Numerical models","interpolation;learning (artificial intelligence);neural nets;ocean temperature;recurrent neural nets;time series","recurrent neural network architecture search;geophysical emulation;surrogate geophysical models;numerical simulation methods;machine learning models;geophysical data;proper-orthogonal-decomposition-based;short-term memory networks;scalable neural architecture search;stacked LSTMs;NOAA Optimum Interpolation Sea-Surface Temperature data;baseline time-series prediction methods;architecture search strategies","",10.0,"",48.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"MESHFREEFLOWNET: A Physics-Constrained Deep Continuous Space-Time Super-Resolution Framework","C. “. Jiang; S. Esmaeilzadeh; K. Azizzadenesheli; K. Kashinath; M. Mustafa; H. A. Tchelepi; P. Marcus; M. Prabhat; A. Anandkumar","University of California, Berkeley, CA, USA; Stanford University, Stanford, CA, USA; Purdue University, USA; Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Stanford University, Stanford, CA, USA; University of California, Berkeley, CA, USA; Lawrence Berkeley National Laboratory, Berkeley, CA, USA; NVIDIA, Santa Clara, CA, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,15,"We propose MESHFREEFLOWNET, a novel deep learning-based super-resolution framework to generate continuous (grid-free) spatio-temporal solutions from the low-resolution inputs. While being computationally efficient, MESHFREEFLOWNET accurately recovers the fine-scale quantities of interest. MESHFREEFLOWNET allows for: (i) the output to be sampled at all spatio-temporal resolutions, (ii) a set of Partial Differential Equation (PDE) constraints to be imposed, and (iii) training on fixed-size inputs on arbitrarily sized spatio-temporal domains owing to its fully convolutional encoder. We empirically study the performance of MESHFREEFLOWNET on the task of super-resolution of turbulent flows in the Rayleigh-Bénard convection problem. Across a diverse set of evaluation metrics, we show that MESHFREEFLOWNET significantly outperforms existing baselines. Furthermore, we provide a large scale implementation of MESHFREEFLOWNET and show that it efficiently scales across large clusters, achieving 96.80% scaling efficiency on up to 128 GPUs and a training time of less than 4 minutes. We provide an opensource implementation of our method that supports arbitrary combinations of PDE constraints.","","978-1-7281-9998-6","10.1109/SC41405.2020.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355293","Super-Resolution;PDEs;Physics-Constrained;Deep Neural Networks","Training;Measurement;Partial differential equations;High performance computing;Superresolution;Neural networks;Task analysis","computational fluid dynamics;deep learning (artificial intelligence);partial differential equations;physics computing;Rayleigh-Benard convection;turbulence","spatio-temporal resolutions;MESHFREEFLOWNET;physics-constrained deep continuous space-time super-resolution framework;deep learning-based super-resolution framework;partial differential equation;turbulent flows;Rayleigh-Bénard convection problem;convolutional encoder","",12.0,"",67.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"Improving All-to-Many Personalized Communication in Two-Phase I/O","Q. Kang; R. Ross; R. Latham; S. Lee; A. Agrawal; A. Choudhary; W. -k. Liao","Department of Electrical and Computer Engineering, Northwestern Univeristy, Evanston, IL, USA; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, IL, USA; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, IL, USA; Department of Electrical and Computer Engineering, Northwestern Univeristy, Evanston, IL, USA; Department of Electrical and Computer Engineering, Northwestern Univeristy, Evanston, IL, USA; Department of Electrical and Computer Engineering, Northwestern Univeristy, Evanston, IL, USA; Department of Electrical and Computer Engineering, Northwestern Univeristy, Evanston, IL, USA","SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","22 Feb 2021",2020,"","",1,13,"As modern parallel computers enter the exascale era, the communication cost for redistributing requests becomes a significant bottleneck in MPIIO routines. The communication kernel for request redistribution, which has an all-to-many personalized communication pattern for application programs with a large number of noncontiguous requests, plays an essential role in the overall performance. This paper explores the available communication kernels for two-phase I/O communication. We generalize the spread-out algorithm to adapt to the all-to-many communication pattern of two-phase I/O by reducing the communication straggler effect. Communication throttling methods that reduce communication contention for asynchronous MPI implementation are adopted to improve communication performance further. Experimental results are presented using different communication kernels running on Cray XC40 Cori and IBM AC922 Summit supercomputers with different I/O patterns. Our study shows that adjusting communication kernel algorithms for different I/O patterns can improve the end-to-end performance up to 10 times compared with default MPI-IO implementations.","","978-1-7281-9998-6","10.1109/SC41405.2020.00014","U.S. Department of Energy; Oak Ridge National Laboratory; U.S. Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355310","MPI-IO;ROMIO;two-phase I/O;communication traffic throttling","Network topology;Exascale computing;Metadata;Topology;Data communication;Kernel","application program interfaces;data handling;input-output programs;message passing;parallel machines;parallel programming;storage management","modern parallel computers;exascale era;communication cost;significant bottleneck;MPIIO routines;request redistribution;personalized communication pattern;application programs;noncontiguous requests;available communication kernels;spread-out algorithm;communication straggler effect;communication contention;asynchronous MPI implementation;communication performance;communication kernel algorithms;end-to-end performance;Cray XC40 Cori;IBM AC922 summit supercomputers","",5.0,"",29.0,"IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
